Date,Generated Headline,Classification,Positive,Negative,Neutral
20150101,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
20150102,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
20150102,natural gas futures rebound cold weather forecasts boost demand,positive,0.91,0.09,0.0
20150104,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
20150104,gold futures edge higher hitting onemonth low dollar oil prices focus,positive,0.78,0.22,0.01
20150104,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
20150104,us soybean corn wheat futures slide rising global supplies easing weather concerns,negative,0.18,0.82,0.0
20150104,us natural gas futures rebound twoyear lows colder weather boosts demand,positive,0.9,0.1,0.0
20150104,oil prices slide multiyear lows supply glut demand concerns persist,negative,0.01,0.99,0.0
20150105,copper prices hit oneweek low stronger dollar weighs commodities,negative,0.08,0.92,0.0
20150105,gold rises investors seek safe amid oil slump global economic worries,positive,0.95,0.05,0.0
20150105,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
20150105,gold prices steady dollar strengthens amid eurozone oil market turmoil,neutral,0.07,0.35,0.58
20150105,us natural gas prices surge cold weather boosts heating demand,positive,0.99,0.01,0.0
20150105,oil prices rebound slightly ahead key us inventory data,positive,0.99,0.01,0.0
20150105,oil prices hit fiveyear lows amid global supply glut stronger dollar,negative,0.01,0.99,0.0
20150105,saudi arabia slashes oil prices europe raises rates asia amid market share battle,negative,0.02,0.97,0.0
20150105,us wheat futures rebound crop damage fears soybeans corn also edge higher,positive,0.98,0.02,0.0
20150105,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
20150106,oil prices hit 51/2 year lows global supply glut deepens,negative,0.04,0.96,0.0
20150106,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
20150106,gold rises third straight session greece eurozone fears boost safehaven demand,positive,0.99,0.01,0.0
20150106,gold hits threeweek high amid greek uncertainty oil market losses,positive,0.99,0.01,0.0
20150106,gold prices dip asia investors monitor greece await fed minutes,negative,0.01,0.99,0.0
20150106,us natural gas prices fluctuate amid volatile trading shifting weather forecasts,positive,0.71,0.29,0.0
20150106,oil prices slide despite us inventory drop global supply glut persists,negative,0.01,0.99,0.0
20150106,oil prices edge higher asia us inventory data global benchmarks remain weak,positive,0.94,0.06,0.0
20150106,us wheat futures climb cold weather crop concerns,positive,0.92,0.07,0.0
20150106,oil prices plunge fiveyear lows supply glut strong dollar weigh market,negative,0.01,0.99,0.0
20150106,oil prices slide sixyear lows amid global supply glut strong dollar,negative,0.01,0.99,0.0
20150107,brent oil drops $ 50 first time since 2009 amid global supply glut,negative,0.01,0.99,0.0
20150107,brent crude drops $ 50 global oil glut weak demand drive prices,negative,0.01,0.99,0.0
20150107,copper prices near fouryear lows strong dollar greek uncertainty weigh markets,negative,0.01,0.99,0.0
20150107,gold holds near threeweek high investors await fed minutes monitor global market volatility,positive,0.83,0.03,0.13
20150107,gold prices slide strong us jobs data lifts dollar weighs metals,negative,0.03,0.97,0.0
20150107,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
20150107,us natural gas prices fluctuate amid weather uncertainty storage data anticipation,positive,0.74,0.26,0.0
20150107,crude oil prices edge higher asia amid fed patience unexpected us inventory drop,positive,0.52,0.48,0.0
20150107,us soybean futures climb south american crop concerns,positive,0.88,0.11,0.0
20150107,oil prices rebound hitting multiyear lows despite unexpected us inventory drop,positive,0.99,0.01,0.0
20150108,copper prices rise hopes ecb stimulus strong us economic data,positive,0.99,0.01,0.0
20150108,gold slips investors await key us economic data fed policy signals,negative,0.21,0.73,0.06
20150108,gold prices edge higher us jobless claims fall less expected,negative,0.02,0.98,0.0
20150108,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
20150108,us natural gas futures rise largerthanexpected storage draw,positive,0.99,0.01,0.0
20150108,saudi arabia gulf opec members stand firm oil output despite price drop,neutral,0.0,0.0,1.0
20150108,crude oil prices rise ahead us jobs data amid ongoing market surplus,positive,0.99,0.01,0.0
20150108,oil prices steady fourday slump traders weigh market outlook,neutral,0.0,0.0,1.0
20150108,us wheat futures hit onemonth low crop damage fears ease corn soybean prices mixed,negative,0.16,0.84,0.0
20150108,oil prices slip amid global supply glut stronger us dollar,negative,0.01,0.99,0.0
20150108,oil prices rebound investors return us inventories fall,negative,0.02,0.97,0.0
20150109,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
20150109,gold prices edge higher amid strong us labor data rate hike expectations,positive,0.99,0.01,0.0
20150109,oil prices hit sixyear lows recovering sharp drop us drilling rigs,negative,0.04,0.96,0.0
20150111,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
20150111,gold hits fourweek high weak us wage data eases rate hike fears,negative,0.18,0.82,0.0
20150111,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
20150111,us corn soybean futures climb ahead usda report wheat falls easing weather concerns,positive,0.97,0.02,0.0
20150111,us natural gas futures edge higher amid mixed weather outlook ongoing supply concerns,positive,0.97,0.03,0.0
20150111,crude oil prices plunge amid oversupply fears weak global demand,negative,0.01,0.99,0.0
20150112,copper prices hit fiveyear low amid global demand concerns stronger dollar,negative,0.02,0.98,0.0
20150112,copper prices near fiveyear lows amid global demand concerns strong dollar,negative,0.02,0.98,0.0
20150112,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
20150112,gold hits fourweek high investors flee falling oil prices fed rate hike expectations ease,negative,0.05,0.95,0.0
20150112,gold prices dip oil copper slide amid global demand concerns,negative,0.01,0.99,0.0
20150112,us natural gas prices drop sharply milder weather forecasts ease demand,negative,0.01,0.99,0.0
20150112,oil prices slide banks slash forecasts supply glut fears persist,negative,0.01,0.99,0.0
20150112,oil prices plunge 5 % goldman sachs slashes forecasts gulf producers hold firm,negative,0.01,0.99,0.0
20150112,us wheat futures steady near sixweek low ahead usda reports,neutral,0.0,0.0,1.0
20150112,gulf opec members resist calls oil output cuts despite pressure venezuela iran,positive,0.89,0.09,0.01
20150112,oil prices plunge sixyear lows goldman sachs slashes forecasts,negative,0.01,0.99,0.0
20150113,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
20150113,copper prices plunge asia amid ongoing demand concerns china,negative,0.11,0.89,0.0
20150113,gold hits 12week high oil prices slide dollar strengthens,negative,0.13,0.87,0.0
20150113,gold hits 12week high investors flee oil slump fed rate hike fears ease,negative,0.33,0.67,0.0
20150113,gold prices dip asia physical demand offers support amid market volatility,negative,0.03,0.97,0.0
20150113,us natural gas prices rebound hitting twoyear low amid mild winter,positive,0.99,0.01,0.0
20150113,oil prices slide us inventories rise goldman sachs cuts forecasts,positive,0.56,0.44,0.0
20150113,oil prices rebound $ 45 amid volatile trading supply concerns,positive,0.99,0.01,0.0
20150113,oil prices plunge sixyear low opec maintains output amid global glut,negative,0.03,0.97,0.0
20150113,us soybean futures rebound record harvest drives sharp decline,positive,0.73,0.27,0.0
20150113,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
20150114,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
20150114,gold drops 12week high investors sell cover losses amid oil copper slump,negative,0.01,0.99,0.0
20150114,gold rises weak us retail sales global growth concerns weigh markets,positive,0.59,0.41,0.0
20150114,gold prices dip despite weaker dollar us retail sales disappoint,negative,0.01,0.99,0.0
20150114,kerry zarif resume unexpected nuclear talks geneva,positive,0.69,0.29,0.02
20150114,us natural gas prices surge cooler weather boosts demand outlook,positive,0.99,0.01,0.0
20150114,oil prices slide supply glut weak demand outlook weigh markets,negative,0.01,0.99,0.0
20150114,oil prices see biggest surge two years traders cover options amid supply glut,positive,0.99,0.01,0.0
20150114,oil prices near sixyear lows amid global supply glut weak economic outlook,negative,0.01,0.99,0.0
20150114,us soybean corn wheat futures slide multiweek lows amid record harvests,negative,0.24,0.76,0.0
20150114,us oil futures trim gains inventories surge global growth outlook dims,negative,0.21,0.79,0.0
20150115,copper prices rebound sixyear low investors seek bargains,positive,0.96,0.04,0.0
20150115,gold near fourmonth high swiss rate cut mixed us data boost demand,positive,0.95,0.05,0.0
20150115,gold prices dip dollar strengthens fed rate hike looms,negative,0.02,0.98,0.0
20150115,gold rises swiss national bank cuts rates negative territory,negative,0.25,0.75,0.0
20150115,natural gas futures surge us storage declines exceed expectations,negative,0.29,0.71,0.0
20150115,crude oil prices rebound amid currency swings market volatility,positive,0.99,0.01,0.0
20150115,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
20150115,oil prices volatile amid currency swings mixed us economic data,negative,0.02,0.98,0.0
