Date,Date Group,Keywords,Classification,Positive,Negative,Neutral
2015-01-01,2015-01-01,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-01,2015-01-02,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-02,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-01,2015-01-03,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-03,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-01,2015-01-04,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-04,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-04,2015-01-04,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-01,2015-01-05,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-05,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-04,2015-01-05,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-05,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-01,2015-01-06,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-06,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-04,2015-01-06,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-06,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-06,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-01,2015-01-07,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
2015-01-02,2015-01-07,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-04,2015-01-07,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-07,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-07,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-07,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-02,2015-01-08,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
2015-01-04,2015-01-08,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-08,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-08,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-08,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-08,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-04,2015-01-09,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-09,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-09,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-09,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-09,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-09,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-04,2015-01-10,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
2015-01-05,2015-01-10,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-10,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-10,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-10,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-10,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-05,2015-01-11,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
2015-01-06,2015-01-11,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-11,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-11,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-11,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-11,2015-01-11,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-06,2015-01-12,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
2015-01-07,2015-01-12,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-12,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-12,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-11,2015-01-12,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-12,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-07,2015-01-13,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
2015-01-08,2015-01-13,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-13,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-11,2015-01-13,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-13,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-13,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-08,2015-01-14,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
2015-01-09,2015-01-14,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-11,2015-01-14,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-14,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-14,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-14,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-09,2015-01-15,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
2015-01-11,2015-01-15,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-15,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-15,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-15,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-15,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-11,2015-01-16,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-16,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-16,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-16,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-16,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-16,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-11,2015-01-17,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
2015-01-12,2015-01-17,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-17,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-17,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-17,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-17,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-12,2015-01-18,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
2015-01-13,2015-01-18,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-18,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-18,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-18,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-18,2015-01-18,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-13,2015-01-19,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
2015-01-14,2015-01-19,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-19,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-19,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-18,2015-01-19,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-19,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-14,2015-01-20,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
2015-01-15,2015-01-20,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-20,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-18,2015-01-20,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-20,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-20,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-15,2015-01-21,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
2015-01-16,2015-01-21,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-18,2015-01-21,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-21,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-21,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-21,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-16,2015-01-22,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
2015-01-18,2015-01-22,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-22,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-22,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-22,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-22,2015-01-22,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-18,2015-01-23,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-23,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-23,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-23,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-22,2015-01-23,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-23,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-18,2015-01-24,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
2015-01-19,2015-01-24,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-24,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-24,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-22,2015-01-24,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-24,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-19,2015-01-25,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
2015-01-20,2015-01-25,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-25,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
2015-01-22,2015-01-25,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
2015-01-23,2015-01-25,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
2015-01-25,2015-01-25,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
2015-01-20,2015-01-26,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
2015-01-21,2015-01-26,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
