Date,Date Group,Generated Headline,Classification,Positive,Negative,Neutral
2015-01-01,2015-01-01,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-01,2015-01-02,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-02,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-01,2015-01-03,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-03,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-01,2015-01-04,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-04,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-04,2015-01-04,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-04,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-01,2015-01-05,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-05,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-04,2015-01-05,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-05,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-05,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-01,2015-01-06,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-06,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-04,2015-01-06,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-06,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-06,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-06,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-01,2015-01-07,iran urges saudi arabia act oil price slump criticizes us regional policies,negative,0.01,0.99,0.0
2015-01-02,2015-01-07,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-04,2015-01-07,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-07,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-07,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-07,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-07,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-02,2015-01-08,gold prices edge higher stay $ 1200 strong dollar weighs demand,positive,0.99,0.01,0.0
2015-01-04,2015-01-08,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-08,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-08,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-08,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-08,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-08,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-04,2015-01-09,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-09,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-09,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-09,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-09,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-09,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-09,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-04,2015-01-10,oil prices plunge lowest levels since 2009 amid supply glut strong dollar,negative,0.01,0.99,0.0
2015-01-04,2015-01-10,gold prices edge higher asia investors seek safe amid market uncertainty,positive,0.99,0.01,0.0
2015-01-05,2015-01-10,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-10,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-10,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-10,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-10,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-05,2015-01-11,gold futures rise investors seek safe amid oil price slump economic uncertainty,positive,0.99,0.01,0.0
2015-01-06,2015-01-11,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-11,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-11,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-11,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-11,2015-01-11,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-11,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-06,2015-01-12,copper prices hover near fouryear lows amid greece uncertainty strong dollar,negative,0.01,0.99,0.0
2015-01-07,2015-01-12,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-12,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-12,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-11,2015-01-12,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-12,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-12,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-07,2015-01-13,gold prices edge higher fed signals patience interest rate hikes,positive,0.99,0.01,0.0
2015-01-08,2015-01-13,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-13,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-11,2015-01-13,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-13,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-13,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-13,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-08,2015-01-14,gold prices slip investors await key us jobs data fed rate hike signals,negative,0.01,0.99,0.0
2015-01-09,2015-01-14,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-11,2015-01-14,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-14,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-14,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-14,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-14,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-09,2015-01-15,crude oil prices slide near fiveyear lows amid global supply glut,negative,0.01,0.99,0.0
2015-01-11,2015-01-15,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-15,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-15,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-15,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-15,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-15,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-11,2015-01-16,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-16,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-16,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-16,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-16,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-16,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-16,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-16,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-11,2015-01-17,brent oil hits fiveyear low amid global supply glut falling us rig count,negative,0.01,0.99,0.0
2015-01-11,2015-01-17,gold edges higher dollar slips investors eye us economic data,positive,0.98,0.02,0.0
2015-01-12,2015-01-17,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-17,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-17,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-17,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-17,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-17,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-12,2015-01-18,oil prices plunge multiyear lows supply glut weak demand persist,negative,0.01,0.99,0.0
2015-01-13,2015-01-18,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-18,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-18,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-18,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-18,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-18,2015-01-18,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-18,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-13,2015-01-19,copper prices plunge fiveyear low despite strong chinese trade data,negative,0.01,0.99,0.0
2015-01-14,2015-01-19,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-19,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-19,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-19,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-18,2015-01-19,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-19,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-19,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-14,2015-01-20,copper prices hit sixyear low amid global economic concerns,negative,0.01,0.99,0.0
2015-01-15,2015-01-20,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-20,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-20,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-18,2015-01-20,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-20,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-20,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-20,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-15,2015-01-21,oil prices fall global supply glut deepens,negative,0.01,0.99,0.0
2015-01-16,2015-01-21,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-21,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-18,2015-01-21,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-21,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-21,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-21,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-21,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
2015-01-16,2015-01-22,brent crude rises $ 49 iea signals possible market rebound despite ongoing oversupply,positive,0.99,0.01,0.0
2015-01-16,2015-01-22,gold prices dip stay near fourmonth high amid mixed us data swiss rate move,negative,0.01,0.99,0.0
2015-01-18,2015-01-22,oil prices slide despite supply cuts market awaits signs recovery,negative,0.01,0.99,0.0
2015-01-18,2015-01-22,gold surges fourmonth high swiss franc shock spurs safe demand,positive,0.99,0.01,0.0
2015-01-19,2015-01-22,copper prices drop ahead key chinese economic data,negative,0.01,0.99,0.0
2015-01-20,2015-01-22,oil prices dip markets await us supply data imf cuts growth outlook,negative,0.01,0.99,0.0
2015-01-21,2015-01-22,gold surges $ 1300 ecb stimulus hopes greek election uncertainty boost safe demand,positive,0.99,0.01,0.0
