Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20160103,Big oil to cut investment again in 2016,"investment cuts, crude prices, dividend payouts, oil majors, project delays",Oil Majors Brace for Deepest Investment Cuts Amid Crude Price Slump,Oil Companies Struggle to Maintain Dividends as Crude Prices Hit 11-Year Lows,Navigating Financial Strategies in Response to Prolonged Oil Price Decline,Oil giants face deep investment cuts and borrowing hikes to maintain dividends amid sustained crude price slump
20160103,Crude oil futures - weekly outlook: January 4 - 8,"Oil prices, supply glut, U.S. shale output, OPEC production, crude inventory",Oil Prices Climb Despite Supply Glut and U.S. Shale Output,Oil Prices Increase as Supply Glut Weighs Heavily,"Assessment of Oil Market Dynamics: Effects of Supply Glut, U.S. Shale, and OPEC Decisions",Oil prices rose ahead of the New Year holiday but ended 2015 with a sharp annual decline due to a global supply glut and robust U.S. shale output.
20160103,Gold futures - weekly outlook: January 4 - 8,"Gold, Federal Reserve, rate hike, dollar, 2015",Gold Prices Edge Higher as Fed Rate Hike Pressures Market,Gold Inches Up Despite 2015 Losses Fueled by Strong Dollar,Fed Rate Hike and Dollar Strength Drive 2015 Gold Performance,"Gold futures rise on Thursday, but 2015 sees a nearly 11% decline due to Fed rate hike and dollar strength."
20160103,Gold gains in Asia as Saudi Arabia cuts diplomatic ties to Iran,"Gold, Geopolitical Tension, Saudi Arabia, Iran, Interest Rates",Gold Gains Amid Geopolitical Tensions After Saudi Arabia Cuts Ties With Iran,"Geopolitical Strain: Saudi Arabia Cuts Diplomatic Ties with Iran, Gold Prices Climb",Implications of Geopolitical Tensions Between Saudi Arabia and Iran on Precious Metals Market,"Gold and silver prices rise as Saudi Arabia cuts ties with Iran over embassy storming, U.S. economic reports awaited"
20160103,"Gold prices hold gains on Middle East tension, copper down on Caixin","Saudi Arabia, Iran, diplomatic ties, gold, geopolitical tension",Gold Climbs as Saudi Arabia Cuts Diplomatic Ties with Iran Amid Geopolitical Tension,"Gold Advances Tracking Saudi-Iran Diplomatic Rift, But Copper Dips on Weak Data",Analysis of Commodity Market Reactions to Saudi-Iran Diplomatic Break Reveals Divergence due to Geopolitical and Manufacturing Factors,"Gold gains on geopolitical tension as Saudi Arabia cuts ties with Iran, copper falls on weak Caixin survey"
20160103,"NYMEX crude up in Asia, but off early sharp gains on Caixin","crude oil, geopolitical tensions, manufacturing indices, Saudi Arabia-Iran, U.S. supply data",Geopolitical Tensions and Weak China Manufacturing Trigger Volatility in Crude Oil Prices,Crude Oil Prices Face Pressure from China Manufacturing Slowdown and Mideast Tensions,Impact of Geopolitical Tensions and Manufacturing Indices on Crude Oil Prices,Crude oil prices fluctuate as weak China manufacturing and Mideast tensions offset potential supply effects
20160103,NYMEX crude up sharply as Saudi Arabia cuts diplomatic ties with Iran,"oil prices, Saudi-Iran tensions, manufacturing index, US jobs report, crude oil supplies","Oil Prices Surge as Saudi-Iran Tensions Mount, Investors Eye Manufacturing and Jobs Reports","Oil Market Reacts to Saudi-Iran Conflict, Speculation Grows Over Manufacturing Output",Impact of Saudi-Iran Diplomatic Break on Oil Prices: Market Supply and Economic Implications,Crude oil prices rise on Saudi-Iran tensions; manufacturing and jobs data anticipated
20160104,Copper slides 3% as China factory activity shrinks again in December,"Copper, Chinese manufacturing, demand, geopolitical tensions, ISM report  ",Copper Prices Plunge as Weak Chinese Manufacturing Signals Dwindling Demand  ,Copper Prices Fall Amid Weak Chinese Manufacturing Data  ,Impact of Chinese Manufacturing Slump on Global Copper Prices  ,Copper drops on weak Chinese manufacturing data; gold rises on Middle East tensions
20160104,Gold gains in Asia on continued risk aversion on Middle East tensions,"gold, Middle East, geopolitical instability, manufacturing data, investor reaction",Gold rises amid Middle East tensions and China data,Gold ticks higher on risk aversion as Middle East tensions flare,Geopolitical Instability and Economic Data Drive Modest Gains in Precious Metals,Gold prices tick up slightly due to geopolitical risks and weak Chinese manufacturing data
20160104,Gold kicks off 2016 with strong gains amid Saudi Arabia-Iran drama,"Gold, Geopolitical Tensions, Rate Hikes, Manufacturing Data, Copper Prices",Gold Surges Amid Geopolitical Tensions and Economic Data Weakness,Gold Prices Spike as Saudi-Iran Conflict Escalates and Investors Eye US Rate Hikes ,Impact of Geopolitical Tensions and Economic Indicators on Precious Metals,"Gold surges on Middle East tensions and weak manufacturing data, while copper tumbles on weak Chinese factory activity."
