Date,Headline,Classification,Positive,Negative,Neutral
20150101,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0
20150102,gold edges higher remains $ 1200,positive,0.99,0.01,0.0
20150102,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0
20150104,crude oil futures weekly outlook january 5 9,negative,0.01,0.54,0.45
20150104,gold / silver / copper futures weekly outlook january 5 9,negative,0.11,0.79,0.09
20150104,gold prices gain early asia safe demand,positive,0.99,0.01,0.0
20150104,grain futures weekly outlook january 5 9,negative,0.02,0.62,0.36
20150104,natural gas futures weekly outlook january 5 9,negative,0.02,0.83,0.15
20150104,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0
20150105,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0
20150105,gold climbs $ 1200 amid euro oil turmoil,positive,0.99,0.01,0.0
20150105,gold futures reapproach $ 1200 oil continues decline,negative,0.12,0.88,0.0
20150105,gold prices dip asia euro greece political turmoil eyed,negative,0.01,0.99,0.0
20150105,natural gas futures surge 5 % cold weather outlook,positive,0.98,0.02,0.0
20150105,nymex crude rebounds asia us stocks data focus,positive,0.98,0.02,0.0
20150105,oil futures extend drop 51/2 year lows amid oversupply concerns,negative,0.11,0.88,0.0
20150105,saudi slashes monthly oil prices europe trims us ups asia,negative,0.01,0.99,0.0
20150105,wheat futures rally amid frigid us weather conditions,positive,0.99,0.01,0.0
20150105,wti approaches $ 50 barrel brent $ 54 supply glut fears,negative,0.02,0.98,0.0
20150106,brent falls saudi arabian king issues speech,negative,0.04,0.96,0.0
20150106,copper holds near 41/2 year low riskoff trade,neutral,0.01,0.16,0.82
20150106,gold extends gains third session greece focus,positive,0.97,0.03,0.0
20150106,gold futures hit 3week high amid greece uncertainty,positive,0.97,0.03,0.0
20150106,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0
20150106,natural gas futures fluctuate near 28month low weather focus,negative,0.05,0.95,0.0
20150106,nymex crude dips early asia despite strong api fall crude stocks,negative,0.01,0.99,0.0
20150106,nymex crude reverses course asia strong api data,negative,0.01,0.99,0.0
