Date,Date Group,Generated Summary,Classification,Positive,Negative,Neutral
2015-01-01,2015-01-01,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-01,2015-01-02,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-02,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-02,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-01,2015-01-03,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-03,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-03,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-01,2015-01-04,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-04,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-04,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-04,2015-01-04,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-01,2015-01-05,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-05,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-05,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-04,2015-01-05,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-05,2015-01-05,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-01,2015-01-06,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-06,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-06,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-04,2015-01-06,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-05,2015-01-06,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-06,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-01,2015-01-07,irans deputy foreign minister warned falling oil prices harm middle east unless saudi arabia intervenes also criticizing us actions islamic state regional policies highlighted ongoing tensions saudi arabia expressed concerns us sanctions impacting nuclear talks,negative,0.01,0.99,0.0
2015-01-02,2015-01-07,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-07,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-04,2015-01-07,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
2015-01-05,2015-01-07,copper prices fell oneweek low stronger us dollar reduced demand commodities oil prices hit fiveyear low investors awaited key us economic data later week,negative,0.01,0.99,0.0
2015-01-06,2015-01-07,copper prices remained near lowest levels since 2010 concerns greeces potential euro zone exit strong us dollar weighed commodities oil prices also continued decline supply glut fears,negative,0.01,0.99,0.0
2015-01-07,2015-01-07,brent crude oil prices fell $ 50 barrel first time since 2009 due global supply glut weak demand signs production cuts opec growing fears deflation prices dropped 57 % since last june raising concerns declines economic impacts,negative,0.01,0.99,0.0
2015-01-02,2015-01-08,gold prices rose slightly remained $ 1200 due strong us dollar expectations higher interest rates investors also monitored political developments greece movements metals,positive,0.99,0.01,0.0
2015-01-02,2015-01-08,natural gas futures rose 483 % forecasts predicted colder january weather reversing recent declines caused mild temperatures high production us storage levels falling less expected,negative,0.09,0.91,0.0
2015-01-04,2015-01-08,oil prices fell lowest levels since 2009 oversupply concerns strong us dollar drove brent wti crude sixth consecutive week investors watching upcoming us economic data market direction,negative,0.01,0.99,0.0
